11   on essaye                     §n e-sEj
12   est un                        et 1
16   dans une                      d@z yn
16   quand il                      k@t il
18   vous en                       vuz @
18   très intéressants             tREz 5-te-RE-s@
20   en ai                         @n E
21   on a                          §n a
22   des interactions              dez 5-tE-Rak-sj§
31   quand il                      k@t il
35   bon usage                     b§n y-zaZ
43   très amusant                  tREz a-my-z@
44   petit éléphant                p°-tit e-le-f@
46   petit éléphant                p°-tit e-le-f@
48   fait il                       fEt il
50   est à                         et a
55   est un                        et 1
56   vous allez                    vuz a-le
61   quand il                      k@t il
62   en articulant                 @n aR-ti-ky-l@
64   vous aurez                    vuz o-Re
79   est une                       et yn
81   dans un                       d@z 1
82   des avions                    dez a-vj§
83   les avions                    lez a-vj§
84   on en                         §n @
84   en entend                     @n @-t@
85   un avion                      1n a-vj§
99   un éléphant                   1n e-le-f@
100  vas y                         vaz i
103  en a                          @n a
123  est assis                     et a-si
127  est à                         et a
134  peut être                     p2t EtR
164  bien alors                    bj5n a-lOR
166  nous avons                    nuz a-v§
169  est impressionnant            et 5-pRe-sjo-n@
169  quand il                      k@t il
169  quand ils                     k@t il
169  ils entendent                 ilz @-t@d
174  est une                       et yn
175  peut être                     p2t EtR
189  ont un                        §t 1
197  est une                       et yn
199  est un                        et 1
208  est un                        et 1
213  peut être                     p2t EtR
222  peut être                     p2t EtR
223  tout à                        tut a
224  quand il                      k@t il
241  on est                        §n e
241  est a                         et a
254  tout apparemment              tut a-pa-Ra-m@
259  plus élaborés                 plyz e-la-bo-Re
264  les échanges                  lez e-S@Z
265  est à                         et a
266  très envie                    tREz @-vi
267  les envoyer                   lez @-vwa-je
270  plus élaboré                  plyz e-la-bo-Re
275  plus en                       plyz @
278  en essayant                   @n e-se-j@
279  vous en                       vuz @
279  en ai                         @n E
279  tout à                        tut a
285  en a                          @n a
285  un autre                      1n otR
293  un autre                      1n otR
294  peut être                     p2t EtR
299  est indépendant               et 5-de-p@-d@
301  comment est                   ko-m@t e
301  vous appelle                  vuz a-pEl
312  vous avez                     vuz a-ve
319  peut être                     p2t EtR
319  est à                         et a
324  on a                          §n a
325  très adultes                  tREz a-dylt
333  futurs enfants                fy-tyRz @-f@
356  on entend                     §n @-t@
358  on entend                     §n @-t@
361  on entend                     §n @-t@
376  est à                         et a
387  les affaires                  lez a-fER
410  on essaie                     §n E-sE
423  bien assis                    bj5n a-si
439  mon amour                     m§n a-muR
466  quand il                      k@t il
467  gros effort                   gRoz e-fOR
475  est attends                   et a-t@
477  un emploi                     1n @p-lwa
491  mon éléphant                  m§n e-le-f@
503  des ordres                    dez ORdR
509  est un                        et 1
539  mes oreilles                  mez o-REj
540  mes oreilles                  mez o-REj
541  mes oreilles                  mez o-REj
542  tes oreilles                  tez o-REj
542  sont elles                    s§t El
542  tes oreilles                  tez o-REj
543  les oreilles                  lez o-REj
543  sont elles                    s§t El
548  sont ils                      s§t il
549  sont ils                      s§t il
556  les a                         lez a
557  on a                          §n a
562  beaux énoncés                 boz e-n§-se
606  dangereux un                  d@-ZR2z 1
617  quand il                      k@t il
623  est un                        et 1
625  est une                       et yn
650  vas y                         vaz i
681  est approché                  et a-pRo-Se
695  est assis                     et a-si
698  est assis                     et a-si
699  est assise                    et a-siz
705  peut être                     p2t EtR
720  est à                         et a
721  est elle                      et El
722  est elle                      et El
727  des enfants                   dez @-f@
730  les enfants                   lez @-f@
760  est il                        et il
761  est il                        et il
763  est un                        et 1
763  gros ours                     gRoz uRs
768  gros ours                     gRoz uRs
769  gros ours                     gRoz uRs
775  est il                        et il
778  en a                          @n a
793  en a                          @n a
794  en a                          @n a
820  on est                        §n e
821  bien à                        bj5n a
828  peut être                     p2t EtR
831  peut être                     p2t EtR
838  peut être                     p2t EtR
839  peut être                     p2t EtR
860  comment il                    ko-m@t il
862  comment il                    ko-m@t il
888  est un                        et 1
918  tout est                      tut e
938  est un                        et 1
970  très univoque                 tREz y-ni-vOk
980  quand i(l)                    k@t i
981  quand il                      k@t il
1058 peut être                     p2t EtR
1065 est extra                     et Ek-stRa
1086 petit amour                   p°-tit a-muR
1103 peut être                     p2t EtR
1107 tout à                        tut a
1150 des après                     dez a-pRE
1158 vas y                         vaz i
1181 est important                 et 5-pOR-t@
1192 est une                       et yn
1207 est assis                     et a-si
1210 est assis                     et a-si
1245 est un                        et 1
1258 belles oreilles               bElz o-REj
1273 est un                        et 1
1303 des objets                    dez Ob-ZE
1303 objets identiques             Ob-ZEz i-d@-tik
