8 alors on                       alors on met .
15 couches alors                  qui te couches alors ,
16 jouer avec                     tu veux jouer avec tes boules
18 maison alors                   dans la maison alors ?
22 est un                         c' est un poisson , oui
29 est un                         c' est un nounours , oui
34 est un                         ça c' est un petit éléphant
35 est un                         aussi c' est un petit
42 pas à                         t(u) arrives pas à les attraper
50 mais on                        oui , mais on a besoin
65 chien oui                      un chien oui , et puis
66 est une                        c' est une dame .
67 regarder un                    tu viens regarder un livre ?
68 est au                         ta poupée est au lit .
72 est au                         elle est au lit ?
84 pas où                        je sais pas où il est
85 avait un                       il y avait un poisson
115 alors ouvre                    accord , alors ouvre un
116 passer avec                    je puisse passer avec le
116 crayon entre                   avec le crayon entre les
128 main aussi                     l' autre main aussi ?
130 doigts alors                   les autres doigts alors ?
141 vais être                     , je vais être recouvert
153 veux aussi                     tu veux aussi des p(e)luches avec
157 veux encore                    que tu veux encore ?
163 veux encore                    que tu veux encore ?
185 arriver à                     tu va arriver à ouvrir marie
186 est ouvert                     qu' il est ouvert comme
191 veux aussi                     , tu veux aussi mettre
201 est ici                        elle est ici .
203 veux enlever                   tu veux enlever le la ti(c)
204 veux enlever                   tu veux enlever la montre ou
207 est allée                     où elle est allée la
208 est ici                        elle est ici .
216 parles il                      quand tu parles il faut l'
216 sinon on                       enlever , sinon on te
225 puis il                        nounours et puis il y
237 couchés alors                 les deux couchés alors .
247 pas un                         c' est pas un crocodile .
256 est odile                      c' est odile .
267 maman et                       grand maman et grand papa .
269 est odile                      ça c' est odile .
277 et à                          et à côté là ?
281 et à                          et à côté ?
300 nicolas oui                    c' est nicolas oui , oui
306 maman elle                     maman elle va le mettre dans
314 doit être                     est qui doit être couchée
315 maman elle                     mais maman elle est partie .
316 est à                         elle est à la cuisine .
317 pas où                        je sais pas où .
319 veux ouvrir                    tu veux ouvrir ta valise pour
327 est encore                     ça c' est encore un
339 yeux aussi                     fermer les yeux aussi .
341 est à                         ça c' est à la naissance
345 malheureusement elle           mais là malheureusement elle est pas
354 est où                        marie elle est où ?
355 est où                        elle est où marie sur la
363 montrer à                     on va montrer à papa .
382 photos après                  avec les photos après !
387 mets où                       je la mets où ?
388 chez elle                      mets la chez elle !
392 maman elle                     marie , maman elle va
401 cheveux hein                   fou les cheveux hein ?
406 viennent aussi                 p(e)luches elles viennent aussi dans
409 peux aller                     tu peux aller éteindre .
409 aller éteindre                tu peux aller éteindre .
416 ouais enfin                    ouais enfin bon , si tu
417 finalement il                  finalement il y a des canards
421 est un                         ça c' est un chat oui
421 chat oui                       est un chat oui .
422 et ici                         et ici ?
426 est un                         aussi c' est un petit
429 pas un                         c' est pas un chat
438 fait un                        on fait un petit lit pour
441 veux encore                    tu veux encore lui mettre son
450 est un                         ça c' est un chat
475 alors on                       alors on met les chaussons ?
477 pars en                        si tu pars en courant
478 fais attention                 tu fais attention avec les doigts
478 attention avec                 tu fais attention avec les doigts
478 doigts avec                    avec les doigts avec le
483 doucement un                   marie , doucement un peu .
488 est un                         c' est un peu particulier .
491 veux en                        tu en veux en mettre là
502 canard ici                     le petit canard ici .
504 est où                        il est où ?
505 mais y                         oui , mais y en a
506 vois où                       tu vois où il est l'
507 pas un                         c' est pas un ballon
508 mais y                         mais y a un ballon sur
515 est un                         ça c' est un peu
517 trop haut                      c' est trop haut .
527 pas une                        c' est pas une bonne
533 as un                          que tu as un tabouret
534 prends un                      prends un tabouret .
553 vas à                         toi tu vas à côté de
555 p(u)is après                  , et p(u)is après ?
571 as enlevé                     t' as enlevé la couche ?
580 peux aussi                     tu peux aussi enlever les chaussettes
581 franchement un                 elles sont franchement un peu petites
581 mis à                         ils ont mis à la
589 dit à                         t' as dit à maman ce
