8    on essaye                     §n e-sEj                      on essaye d' en sortir un
9    est un                        et 1                          il est un peu &ko .
13   dans une                      d@z yn                        une pièce dans une case
13   quand il                      k@t il                        et alors quand il avait
15   vous en                       vuz @                         je vous en citerai d' autres
15   très intéressants             tREz 5-te-RE-s@               qui sont très intéressants ,
16   en ai                         @n E                          j' en ai noté ce matin
17   on a                          §n a                          on a déjà beaucoup parlé et
17   des interactions              dez 5-tE-Rak-sj§              y avait des interactions longues
22   quand il                      k@t il                        distingué mais quand il demande
25   bon usage                     bOn y-zaZ                     dans le bon usage .
31   très amusant                  tREz a-my-z@                  est très très amusant ,
32   petit éléphant                p°-tit e-le-f@                aller le petit éléphant ?
34   petit éléphant                p°-tit e-le-f@                va le petit éléphant ?
37   est à                         et a                          ça c' est à victor
42   est un                        et 1                          c' est un pauvre enfant .
43   vous allez                    vuz a-le                      vous allez voir ça tout de
45   certaines interprétations     sER-tEnz 5-tER-pRe-ta-sj§     que pour certaines interprétations il
48   quand il                      k@t il                        parce que quand il se
48   en articulant                 @n aR-ti-ky-l@                renforce , en articulant correctement
50   vous aurez                    vuz o-Re                      en fait vous aurez la
65   est une                       et yn                         , c' est une voiture
67   dans un                       d@z 1                         est sorti dans un magma
68   des avions                    dez a-vj§                     voitures et des avions .
69   les avions                    lez a-vj§                     distingue bien les avions .
70   quand on                      k@t §                         quand on en entend un ,
70   on en                         §n @                          quand on en entend un ,
70   en entend                     @n @-t@                       quand on en entend un ,
70   un avion                      1n a-vj§                      y a un avion postal
82   un éléphant                   1n e-le-f@                    encore un éléphant .
83   vas y                         vaz i                         vas y !
86   en a                          @n a                          il y en a pas
105  est assis                     et a-si                       , il est assis .
109  est à                         et a                          qu' il est à la
116  peut être                     p2t EtR                       on pourrait peut être faire
145  nous avons                    nuz a-v§                      parce que nous avons une
148  est impressionnant            et 5-pRe-sjo-n@               alors c' est impressionnant quand
148  quand il                      k@t il                        est impressionnant quand il se
148  quand ils                     k@t il                        les gens quand ils entendent
148  ils entendent                 ilz @-t@d                     gens quand ils entendent un
153  est une                       et yn                         , qui est une dame
154  peut être                     p2t EtR                       c' était peut être bien
168  ils ont                       ilz §                         ceux là ils ont un
168  ont un                        §t 1                          là ils ont un peu
176  est une                       et yn                         c' est une forme comme ça
178  est un                        et 1                          vois c' est un grand
187  est un                        et 1                          ça c' est un truc .
191  peut être                     p2t EtR                       c' est peut être la voiture
199  peut être                     p2t EtR                       il veut peut être bien
200  tout à                        tut a                         du chien tout à l'
218  on est                        §n e                          zeuzeul on est a zeuzeul .
218  est a                         et a                          zeuzeul on est a zeuzeul .
236  plus élaborés                 plyz e-la-bo-Re               des trucs plus élaborés parfois
241  les échanges                  lez e-S@Z                     c' est les échanges de balles
242  est à                         et a                          c' est à dire , il
242  très envie                    tREz @-vi                     il a très envie d'
242  les envoyer                   lez @-vwa-je                  lâcher de les envoyer .
243  plus élaboré                  plyz e-la-bo-Re               un peu plus élaboré que
247  plus en                       plyz @                        met de plus en plus
249  en essayant                   @n e-se-j@                    euh et en essayant d' ébaucher
250  vous en                       vuz @                         ça je vous en ai
250  en ai                         @n E                          je vous en ai noté
250  tout à                        tut a                         les dirai tout à l'
256  en a                          @n a                          il y en a un autre
256  un autre                      1n otR                        en a un autre où
264  un autre                      1n otR                        il appelle un autre homme
265  peut être                     p2t EtR                       c' est peut être euh .
268  premier enregistrement        pR°-mjeR @R-Zis-tR°-m@        dès son premier enregistrement !
269  est indépendant               et 5-de-p@-d@                 , c' est indépendant de
271  vous appelle                  vuz a-pEl                     qu' il vous appelle ?
281  vous avez                     vuz a-ve                      titite , vous avez vu ,
281  était un                      e-tEt 1                       , c' était un deux
288  peut être                     p2t EtR                       c' est peut être parce
288  est à                         et a                          que c' est à la
293  on a                          §n a                          avec adrien on a pas
294  très adultes                  tREz a-dylt                   enfin très adultes en tout cas
301  futurs enfants                fy-tyRz @-f@                  de ses futurs enfants en
323  on entend                     §n @-t@                       ce qu' on entend ?
325  on entend                     §n @-t@                       ce qu' on entend ?
327  les oiseaux                   lez wa-zo                     oui les oiseaux !
328  on entend                     §n @-t@                       est vrai on entend les
328  les oiseaux                   lez wa-zo                     on entend les oiseaux .
343  est à                         et a                          et c' est à kiki alors
354  les affaires                  lez a-fER                     de prendre les affaires du
377  on essaie                     §n E-sE                       alors on essaie de voir ce
389  bien assis                    bj5n a-si                     mets toi bien assis , grégoire
404  mon amour                     m§n a-muR                     ton papy mon amour .
428  quand il                      k@t il                        ce soir quand il voudra
429  gros effort                   gRoz e-fOR                    oh quel gros effort .
439  un emploi                     1n @p-lwa                     est pas un emploi attesté
453  mon éléphant                  m§n e-le-f@                   a cassé mon éléphant ?
459  deux ans                      d2z @                         a bientôt deux ans il
465  des ordres                    dez ORdR                      désirs sont des ordres .
471  est un                        et 1                          c' est un sac .
484  les yeux                      lez j2                        ) (est) les yeux qui
485  les yeux                      lez j2                        lumière dans les yeux ?
501  mes oreilles                  mez o-REj                     et mes oreilles ?
502  mes oreilles                  mez o-REj                     où sont mes oreilles ?
503  mes oreilles                  mez o-REj                     voilà , mes oreilles .
504  tes oreilles                  tez o-REj                     et tes oreilles , où elles
504  sont elles                    s§t El                        où elles sont elles tes
504  tes oreilles                  tez o-REj                     sont elles tes oreilles ?
505  les oreilles                  lez o-REj                     et les oreilles de christian où
505  sont elles                    s§t El                        christian où sont elles ?
510  sont ils                      s§t il                        où sont ils mes cheveux ?
511  sont ils                      s§t il                        cheveux où sont ils mes
518  les a                         lez a                         grégoire on les a coupés
519  on a                          §n a                          hein on a coupé les cheveux
524  beaux énoncés                 boz e-n§-se                   nous quelques beaux énoncés en
580  quand il                      k@t il                        des fous quand il y
586  est un                        et 1                          c' est un genre de télé
588  est une                       et yn                         , c' est une caméra
644  est approché                  et a-pRo-Se                   il s' est approché de
658  est assis                     et a-si                       , grégoire est assis .
661  est assis                     et a-si                       grégoire est assis .
662  est assise                    et a-siz                      maman est assise .
668  peut être                     p2t EtR                       on finira peut être par comprendre
683  est à                         et a                          elle est à qui ?
684  est elle                      et El                         à qui est elle ?
685  est elle                      et El                         à qui est elle ?
690  des enfants                   dez @-f@                      la télé des enfants .
693  les enfants                   lez @-f@                      c' est les enfants .
722  est il                        et il                         manger où est il donc
723  est il                        et il                         est il derrière la porte ?
725  est un                        et 1                          c' est un gros ours !
725  gros ours                     gRoz uRs                      est un gros ours !
730  gros ours                     gRoz uRs                      mange le gros ours ?
731  gros ours                     gRoz uRs                      mange le gros ours ?
737  est il                        et il                         est il dans la pendule le
740  en a                          @n a                          il y en a plus .
753  gros yeux                     gRoz j2                       avec ses gros yeux .
755  en a                          @n a                          y en a plus !
756  en a                          @n a                          y en a plus de quoi
769  les yeux                      lez j2                        les yeux de l' hippopotame !
770  gros yeux                     gRoz j2                       hum les gros yeux !
771  petit oiseau                  p°-tit wa-zo                  , un petit oiseau .
782  on est                        §n e                          téléphone , on est passé de
783  bien à                        bj5n a                        ça passera bien à l'
790  peut être                     p2t EtR                       c' est peut être les
793  peut être                     p2t EtR                       peut être .
800  peut être                     p2t EtR                       peut être .
801  peut être                     p2t EtR                       peut être .
849  est un                        et 1                          c' est un singe .
879  tout est                      tut e                         ça , tout est tranquille
894  des yeux                      dez j2                        il a des yeux terribles ,
899  est un                        et 1                          ça c' est un petit
899  petit oiseau                  p°-tit wa-zo                  est un petit oiseau .
931  très univoque                 tREz y-ni-vOk                 c' est très univoque ,
942  quand il                      k@t il                        va voir quand il retrouve
1017 peut être                     p2t EtR                       y aura peut être pas
1024 est extra                     et Ek-stRa                    c' est extra , hein ?
1044 petit amour                   p°-tit a-muR                  petit amour .
1060 peut être                     p2t EtR                       c' est peut être ranger
1064 tout à                        tut a                         est pas tout à fait
1107 des après                     dez a-pRE                     est pas des après midi
1115 vas y                         vaz i                         allez , vas y .
1138 est important                 et 5-pOR-t@                   oh c' est important * .
1148 est une                       et yn                         c' est une fleur .
1160 est assis                     et a-si                       il est assis dans la chaise
1162 est assis                     et a-si                       il est assis sur la mallette
1195 est un                        et 1                          c' est un peu loin ,
1207 belles oreilles               bElz o-REj                    avec de belles oreilles , là
1221 est un                        et 1                          oh elle est un peu petite
1250 des objets                    dez Ob-ZE                     montre sur des objets identiques
1250 objets identiques             Ob-ZEz i-d@-tik               sur des objets identiques .
1251 les oppositions               lez o-po-zi-sj§               lui fais les oppositions .
1256 est encore                    et @-kOR                      qu' il est encore au
1268 quand il                      k@t il                        ai dépouillé quand il est
1268 est allé                      et a-le                       quand il est allé chercher
1269 est allé                      et a-le                       il est allé le jeter dans
1274 un air                        1n ER                         il prend un air perplexe
1274 un air                        1n ER                         inets d' un air de
1293 est un                        et 1                          ça c' est un jeu inépuisable
1296 on a                          §n a                          on a encore droit à un
1297 les endroits                  lez @-dRwa                    de montrer les endroits où
1309 est à                         et a                          c' est à grégoire ?
1310 est une                       et yn                         c' est une voiture à grégoire
1316 on entend                     §n @-t@                       ce qu' on entend ?
1318 on entend                     §n @-t@                       ce qu' on entend ?
1323 est une                       et yn                         non c' est une sirène qui
1326 peut être                     p2t EtR                       peut être .
1327 est amusant                   et a-my-z@                    ah c' est amusant ça .
1328 est amusant                   et a-my-z@                    c' est amusant , ça mon
1329 est un                        et 1                          c' est un bouton pour filmer
1337 est éteinte                   et e-t5t                      bas elle est éteinte ,
1338 est éteinte                   et e-t5t                      aussi elle est éteinte .
1351 peut être                     p2t EtR                       elles sont peut être rangées
1353 est une                       et yn                         c' est une préparation de lessive
1356 sont elles                    s§t El                        , où sont elles ?
1361 sont elles                    s§t El                        grégoire où sont elles ?
1370 bien à                        bj5n a                        déjà très bien à poupée
1375 plus à                        plyz a                        il arrivait plus à la rattraper
1380 peut être                     p2t EtR                       on pourrait peut être aller dans
1380 est un                        et 1                          que c' est un lieu
1380 peut être                     p2t EtR                       à dire peut être .
1390 est un                        et 1                          ah c' est un morceau de
1412 est amusé                     et a-my-ze                    il s' est amusé en
1412 un air                        1n ER                         nuj d' un air de
1418 tout à                        tut a                         tout à l' heure quand tu
1439 est assez                     et a-se                       ailleurs c' est assez normal
1441 on a                          §n a                          on a des ferme fermé .
1445 quand il                      k@t il                        quand il dit allumé , il
1451 est un                        et 1                          c' est un peu variable .
1455 on a                          §n a                          on a des viens et des
1458 tout à                        tut a                         tout à l' heure quand j'
1463 est à                         et a                          papa est à la fac .
1464 est à                         et a                          adrien est à l' école .
1465 est à                         et a                          victor est à l' école .
1466 est au                        et o                          la toyota est au garage .
1468 est en                        et @                          mais c' est en filigrane
1469 est à                         et a                          c' est à dire la charnière
1469 quand on                      k@t §                         est fait quand on lui
1488 mon objectif                  m§n Ob-ZEk-tif                , dans mon objectif .
1494 peut être                     p2t EtR                       tu pourras peut être nous
1527 est un                        et 1                          c' est un monsieur ?
1539 est à                         et a                          c' est à adrien hein .
1550 est une                       et yn                         , c' est une main
1559 dans un                       d@z 1                         dans un geste de serpentin .
1562 quand elle                    k@t El                        c' est quand elle dégringole
1562 quand elle                    k@t El                        dégringole , quand elle se
1565 en a                          @n a                          y en a des noires ,
1567 mes enfants                   mez @-f@                      que si mes enfants voyaient
1569 peut être                     p2t EtR                       ils connaissent peut être mais ils
1569 en ont                        @n §                          ils n' en ont pas
1575 est un                        et 1                          papa c' est un monsieur
1584 tout à                        tut a                         tout à l' heure il est
1588 plus amusant                  plyz a-my-z@                  c' est plus amusant !
1595 est une                       et yn                         c' est une des choses qu'
1596 on en                         §n @                          ça on en a encore vraiment
1596 en a                          @n a                          ça on en a encore vraiment
1603 on en                         §n @                          on en a sur partir parti
1603 en a                          @n a                          on en a sur partir parti
1608 un objet                      1n Ob-ZE                      sens où un objet a
1609 aux échecs                    oz e-SEk                      de toucher aux échecs d'
1612 est un                        et 1                          oui c' est un cheval .
1615 est un                        et 1                          oui c' est un cheval .
1617 peut être                     p2t EtR                       ça pourrait peut être bien
1617 bien être                     bj5n EtR                      peut être bien être tombe
