13 allez upla                     allez upla .
14 et up                          et up .
22 placard anaïs                 sors du placard anaïs .
28 vas encore                     tu vas encore tombée anaïs .
46 pourtant elle                  pourtant elle est pas longue .
62 et on                          et on va où ?
68 viens avec                     viens , viens avec moi .
81 bien anaïs                    c' est bien anaïs .
92 pas envie                      t(u) as pas envie .
112 en un                          , prends en un autre
117 allez appuie                   allez appuie .
126 vert alors                     le vert alors fais voir ,
152 non il                         non il va là !
165 non il                         non il est vert regarde .
167 vert il                        le vert il est là ,
180 tiens enlèves                 tiens enlèves ton doigt .
193 allez allez                    viens là allez allez viens
199 accord emmène                 d' accord emmène la chaise .
200 viens on                       viens , viens on emmène
227 bib(e)ron au                   donne le bib(e)ron au bébé
228 ouais elle                     ouais elle a soif ?
233 fais un                        tu lui fais un calîn
234 allez au                       allez au lit !
240 vois elle                      oh tu vois elle pleure .
248 ben oui                        ben oui mets le au lit
254 allez assieds                  allez assieds toi .
273 vois elle                      tu vois elle a faim .
287 tomber à                      fais que tomber à monter
294 es une                         t(u) es une grande hein .
310 aller on                       aller on va mettre le toit
310 tient encore                   si il tient encore .
313 vas où                        tu vas où ?
318 pas où                        , j'sais pas où elle
332 et alors                       là , et alors ?
336 doit être                     il doit être dessous !
345 sont où                       oh elles sont où ?
356 jouer aux                      tu sais jouer aux boules ?
366 veux un                        tu veux un cube ?
371 cubes anaïs                   là les cubes anaïs .
372 doivent être                  ils doivent être chez papi .
415 ben alors                      ben alors !
423 pas à                         * , pas à la
425 pas exprès                    * fais pas exprès !
447 vas où                        ah tu vas où ?
455 viens anaïs                   viens anaïs !
468 ben alors                      ben alors ?
480 apportes un                    tu m' apportes un jouet ?
489 vas où                        tu vas où anaïs ?
517 es à                          t(u) es à l' envers ninin
534 pot une                        sur le pot une aut(r)e
535 fais avec                      tu fais avec tes * *
537 sais i(l)                      tu sais i(l) marche plus c(el)ui
543 piles à                       ait des piles à c(e)
559 pas avec                       pas avec les pieds .
573 emmènes où                   tu m' emmènes où ?
583 veux à                        tu veux à boire ?
610 pas une                        c' est pas une bonne idée
675 mis une                        t' avais mis une boite
700 es où                         t(u) en es où ?
715 fermier il                     le fermier il a la tête
774 dis au                         tu dis au r(e)voir .
