537  marche plus                   maRS° ply                     sais i(l) marche plus c(el)ui
539  marche plus                   maRS° ply                     ah i(l) marche plus .
1524 verse plus                    vERs° ply                     ça verse plus ?
1545 marche plus                   maRS° ply                     ça marche plus ?
1669 marche plus                   maRS° ply                     i(l) marche plus .
2122 regarde celui                 R°-gaRd° sl8i                 la la regarde celui là
4163 reste plus                    REst° ply                     il en reste plus là
4551 marche plus                   maRS° ply                     i(l) marche plus c(e) truc .
4887 marche plus                   maRS° ply                     (ça) marche plus .
4935 marche plus                   maRS° ply                     mh i(l) marche plus .
5501 marche plus                   maRS° ply                     i(l) marche plus hein ?
6945 marche plus                   maRS° ply                     non ça marche plus !
9120 tourne plus                   tuRn° ply                     mais elle tourne plus ninin
9382 juste celui                   Zyst° sl8i                    juste celui du d(e)ssous .
9422 marche plus                   maRS° ply                     tard i(l) marche plus .
12632marche plus                   maRS° ply                     i(l) marche plus c(e) machin .
15863marche plus                   maRS° ply                     ben marche plus ?
18200ours brun                     uRs° bR1                      bébé petit ours brun .
18539nounours blanc                nu-nuRs° bl@                  est un nounours blanc ça
19044marche plus                   maRS° ply                     i(l) marche plus .
24884marche plus                   maRS° ply                     maintenant i(l) marche plus .
27378reste plus                    REst° ply                     i(l) reste plus qu(e) l' arrête
27849reste plus                    REst° ply                     i(l) reste plus qu' un os
28714presque droit                 pREsk° dRwa                   c' est presque droit .
28741reste plus                    REst° ply                     il en reste plus qu(e) trois
29714reste plus                    REst° ply                     il reste plus que le chien
32006marche plus                   maRS° ply                     pourquoi elle marche plus ?
34410ours brun                     uRs° bR1                      Petit ours brun .
34425ours brun                     uRs° bR1                      à Petit ours brun là
34956juste plier                   Zyst° pli-je                  j(e) vais juste plier ça pour
35114marche plus                   maRS° ply                     * marche plus .
37784cherches près                 SERS° pRE                     que tu cherches près d(e)
38133reste plus                    REst° ply                     il en reste plus là .
38703garde celui                   gaRd° sl8i                    mais garde celui ci .
38713garde celui                   gaRd° sl8i                    oh , garde celui ci .
41713gardes celui                  gaRd° sl8i                    tu gardes celui ci finalement ?
42202reste plus                    REst° ply                     il reste plus rien ?
42204reste plus                    REst° ply                     il reste plus rien dans l(e)
42689presque plus                  pREsk° ply                    en a presque plus .
42760tourne plus                   tuRn° ply                     ça ne tourne plus .
42761tourne plus                   tuRn° ply                     ça ne tourne plus .
48985marche plus                   maRS° ply                     qu' i(l) marche plus cet
53042reste plein                   REst° plEn                    nous en reste plein encore
54233regarde plutôt                R°-gaRd° ply-to               qu' on regarde plutôt les
57795parle plus                    paRl° ply                     histoire on parle plus du
58485parle plus                    paRl° ply                     , elle parle plus longtemps
60560presque plus                  pREsk° plyz                   il ressemble presque plus au
60720marche plus                   maRS° ply                     ben i(l) marche plus tellement ,
