9    mettre tes                    mEt te                        viens r' mettre tes souliers a
13   desordre que                  de-zORd k2                    peu le desordre que tu
153  livre mais                    liv mE                        prends le livre mais fais attention
153  autres vont                   ot v§                         que les autres vont tomber
214  sucre que                     syk k2                        du sucre que c' est .
251  souffle sur                   suf syR                       i' souffle sur la fleur nicolas
284  arbre ce                      aRb s2                        est un arbre ce n'
339  montres la                    m§t la                        que tu montres la porte
400  cadre la                      kad la                        sur le cadre la .
407  etre toute                    Et tut                        maman va etre toute sale
425  mettre ton                    mEt t§                        un peu mettre ton #
524  livre tantot                  liv t@-tO                     mis le livre tantot ?
583  prendre donc                  pR@d d§k                      va bien prendre donc ?
588  prendre sais                  pR@d sE                       pas tout prendre sais tu
625  etre casse                    Et kas                        va encore etre casse plus
648  autre boite                   ot bwat                       dans l' autre boite i'
661  remettre la                   R°-mEt la                     va remettre la moto dans la
671  autre boite                   ot bwat                       dans l' autre boite .
672  autre boite                   ot bwat                       dans l' autre boite .
679  mettre tu                     mEt ty                        de la mettre tu es
713  autres cles                   ot kle                        mettais des autres cles ?
720  mettre tes                    mEt te                        va mettre tes souliers hein .
731  mettre ton                    mEt t§                        tu vas mettre ton soulier ?
733  autre bas                     ot ba                         l' autre bas oui .
754  mettre du                     mEt dy                        maman va mettre du cirage oui
768  mettre du                     mEt dy                        non pas mettre du cirage
777  attendre que                  a-t@d k2                      faut attendre que maman ait frotte
787  mettre la                     mEt la                        va t' mettre la .
790  mettre la                     mEt la                        va t' mettre la .
861  mettre tes                    mEt te                        va mettre tes souliers sur le
863  mettre les                    mEt le                        faut les mettre les souliers
872  autre musique                 ot my-zik                     encore une autre musique ?
927  autre sens                    ot s@s                        dans l' autre sens .
930  autre crayon                  ot kRE-j§                     l' autre crayon .
947  descendre remonter            de-s@d R°-m§-te               descendre remonter .
977  perdre tout                   pERd tu                       tu vas perdre tout tout
988  ouvre la                      uv la                         on ouvre la porte ?
1003 autre camion                  ot ka-mj§                     faudrait un autre camion un plus
1032 semble bien                   s@b bj5                       i' m' semble bien qu'
1068 mettre tout                   mEt tu                        aller s' mettre tout pres
1073 mettre tout                   mEt tu                        va l' mettre tout pres
1079 etre qu'                      Et k                          peut etre qu' i' n' veut
1097 ouvre la                      uv la                         il ouvre la bouche pour mordre
1098 ouvre la                      uv la                         il ouvre la bouche hou .
1121 mettre tout                   mEt tu                        va le mettre tout douc'
1124 montre de                     m§t d2                        la montre de papa ?
1127 mettre la                     mEt la                        fafa veut mettre la montre de
1127 montre de                     m§t d2                        mettre la montre de papa
1213 ouvre pas                     uv pa                         n' ouvre pas la porte .
1215 ouvres la                     uv la                         si tu ouvres la porte
1223 mettre le                     mEt l2                        va r' mettre le livre a
1248 mettre quelque                mEt kElk                      tit peu mettre quelque chose
1251 mettre pour                   mEt puR                       tu dois mettre pour ne
1254 mettre les                    mEt le                        viens mettre les bas .
1266 mettre dehors                 mEt d°-OR                     de l' mettre dehors .
1267 ouvre lui                     uv l8i                        ouvre lui vite la porte .
1268 ouvre lui                     uv l8i                        ouvre lui la porte .
1270 ouvres la                     uv la                         tu ouvres la porte au chat
1288 etre mouille                  Et muj                        pas d' etre mouille .
1302 ouvre pas                     uv pa                         n' ouvre pas la porte maint'
1323 ouvre la                      uv la                         il ouvre la portiere hein .
1334 mettre ton                    mEt t§                        viens mettre ton cal' con .
1382 mettre ton                    mEt t§                        tu veux mettre ton manteau ?
1383 mettre ton                    mEt t§                        tu veux mettre ton manteau pour
1390 mettre le                     mEt l2                        peux pas mettre le .
1406 ouvre les                     uv lez                        ouvre les yeux hein .
1415 mettre tes                    mEt te                        non pas mettre tes doigts la
1416 mettre les                    mEt le                        pas mettre les doigts la .
1478 mettre les                    mEt le                        i' faut mettre les sous .
1690 autre porte                   ot pORt                       l' autre porte aussi .
1705 mettre dans                   mEt d@                        les r' mettre dans l'
1711 mettre dans                   mEt d@                        l' r' mettre dans l'
1719 propre dessus                 pROp d°-sy                    pyjama tout propre dessus .
1815 mettre la                     mEt la                        va l' mettre la .
1875 mettre l'                     mEt l                         veux tu mettre l' avion
1876 mettre l'                     mEt l                         ah pour mettre l' essence oui
1952 pauvre stephan                pov ste-f@                    pauvre stephan .
1971 mettre l'                     mEt l                         trou pour mettre l' essence
1972 mettre de                     mEt d2                        mettre de l' essence dans dans
