7 dis à                         dis à mamy !
16 donnes à                      tu la donnes à qui
18 jouer aux                      aimes bien jouer aux perles
22 jouer avec                     bien de jouer avec les
23 veux une                       tu veux une perle rose ?
40 donnes une                     tu me donnes une perle ?
49 pas autre                      n' aimes pas autre chose
51 bracelets et                   que les bracelets et les
53 colliers aussi                 bien les colliers aussi ,
56 pas une                        n' est-ce pas une petite fille
58 est une                        c(e) est une petite copine ,
61 aimes elle                     tu l' aimes elle est plus
64 souvent avec                   tu joues souvent avec minnie ?
65 jeux avec                      tu comme jeux avec minnie
66 joues avec                     quoi tu joues avec minnie
67 mais à                        oui mais à quoi tu joues
74 sinon on                       sinon on arrête avec les perles
79 perles à                      passe tes perles à mamy !
80 donnes une                     m' en donnes une à
81 donnes une                     m' en donnes une à
86 fais un                        tu fais un collier ?
90 collier à                     pour un collier à ton
105 collier et                     qu' un collier et enfiler
105 et enfiler                     un collier et enfiler des
106 jouer un                       on pourrait jouer un petit
111 hein oui                       hein oui ?
123 mais il                        oui mais il faut les laisser
124 pas à                         ) arrive pas à enfiler
132 demander à                    dois rien demander à parrain
135 pas à                         ne réponds pas à léa
149 pas enfiler                    ne sais pas enfiler tes
153 avais envie                    tu en avais envie ?
156 bonshommes en                  tes bonshommes en plasticine là ,
157 fait en                        t' a fait en plasticine
176 perles ou                      avec les perles ou bien
176 bien au                        perles ou bien au puzzle
179 perles avec                    faire les perles avec toi
180 ben oui                        ben oui .
184 est assez                      c(e) est assez .
187 as encore                      tu en as encore beaucoup ?
199 façon on                      de toute façon on ramassera tout
201 fais obéir                    tu fais obéir roy ?
210 jouait un                      si on jouait un petit peu
212 jouait au                      si on jouait au puzzle par
214 bien avec                      amuses trop bien avec les
218 plus alors                     amuseras pas plus alors ?
222 bien il                        eh bien il y en aura
224 jouer aux                      ça , jouer aux perles
234 alors il                       alors il faut arrêter de ce
234 faut arrêter                  alors il faut arrêter de ce
236 ramasser une                   dois les ramasser une à
238 jouer aux                      bien viens jouer aux perles
239 jouer ici                      viens jouer ici !
253 amuser à                      pas m' amuser à les
253 ramasser une                   à les ramasser une à
274 mais attends                   oui mais attends une minute ,
274 attends une                    oui mais attends une minute ,
275 donner à                      tu veux donner à boire aux
282 mais oui                       mais oui je sais bien ,
301 non hein                       non hein ?
302 hein oui                       eau , hein oui ?
303 plutôt aller                  tu devrais plutôt aller donner (de-l'
311 suis en                        quand je suis en train
312 sécher ici                    de quoi sécher ici .
